group,sc1,sc2_1,sc4,sc5,q1_1,q2_1,q4_1,q5_1,q5_2,q5_3,q5_4,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q6_8,q6_9,q6_10,q6_11,q6_12,q6_13,q6_14,q6_15,q6_16,q6_17,q6_18,q6_19,q6_20,q6_21,q6_22,q6_23,q6_24,q6_25,q6_26,q6_27,q6_28,q6_29,q6_30,q6_31,q6_32,q6_33,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q7_14,q7_15,q7_16,q7_17,q7_18,q7_19,q7_20,q7_21,q7_22,q7_23,q7_24,q7_25,q7_26,q7_27,q7_28,q7_29,q7_30,q7_31,q7_32,q7_33,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8_10,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_17,q8_18,q8_19,q8_20,q8_21,q8_22,q8_23,q8_24,q8_25,q8_26,q8_27,q8_28,q8_29,q8_30,q8_31,q8_32,q8_33
2,1,38,2,1,4,20,2,4,3,4,3,14,8,2,2,3,2,2,2,2,3,11,5,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,5,3,3,12,1,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,1,2,2,15,15,15,15,15,2,2,15,15,15,15,2,2,2,15,1,2,1,2,1,15,1,2,2,2,15,15,15
17,2,39,1,4,1,100,1,5,5,5,5,2,5,1,2,3,3,2,1,1,2,5,2,2,2,2,2,4,3,3,1,2,2,2,3,3,3,1,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,1,1,1,1,1,1,1,1,8,8,1,1,1,1,3,3,3,1,2,8,2,2,3,2,2,8,8,8,1,8,1
3,1,44,2,1,2,50,2,3,2,2,3,4,5,2,3,5,5,2,2,2,2,6,4,2,3,3,2,4,2,3,3,3,2,3,3,2,3,2,5,4,2,2,2,3,3,1,2,2,3,3,2,2,2,3,1,1,2,2,2,2,3,3,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,14,6,4,14,14,14,2,4,2,4,14,14,2,2,2,2,8,8,8,3,3,3,2,8,8,5,3,8,8,8,15,8,5
12,1,31,1,4,1,100,4,2,2,2,3,2,6,2,1,2,2,2,2,2,2,8,3,2,2,2,3,5,2,3,2,2,3,2,4,2,4,1,3,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,14,3,1,14,14,8,1,2,2,2,2,2,1,1,8,1,8,8,8,2,4,4,2,2,8,2,4,14,14,14,1,6,1
12,1,33,1,4,3,20,1,3,5,4,4,1,2,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,4,1,1,2,2,2,2,1,1,1
12,1,35,1,4,3,70,2,2,1,2,1,2,4,2,1,2,2,2,2,2,2,4,3,2,2,2,2,2,3,3,3,3,2,2,3,3,3,2,3,2,2,5,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
5,1,60,2,2,3,40,1,3,4,3,3,2,7,2,2,4,2,1,1,1,1,1,3,1,1,1,1,3,2,1,5,2,2,4,3,1,2,1,3,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,3,3,1,4,2,1,1,1,2,1,15,15,15
11,1,29,1,4,4,50,8,3,1,3,3,3,5,1,1,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,2,2,1,1,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,5,3,14,14,8,2,14,14,14,14,14,8,2,2,2,8,8,8,2,6,8,4,8,8,6,4,14,14,14,15,8,8
19,2,52,2,3,1,1,2,3,1,3,3,3,4,1,1,3,2,1,2,2,4,5,5,2,5,3,3,3,3,3,1,3,1,2,4,4,3,1,3,2,2,1,2,1,1,1,2,2,2,2,2,3,3,2,2,1,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,8,3,1,14,14,6,1,3,3,2,2,8,1,2,1,2,5,5,5,1,14,6,2,3,3,3,3,14,14,14,15,14,15
7,2,30,2,1,2,90,5,3,3,3,3,4,4,4,3,3,3,4,5,4,3,4,4,5,4,4,3,3,4,3,4,6,5,4,4,4,4,4,4,4,3,4,4,4,2,3,1,1,2,3,3,2,2,2,3,3,3,3,2,2,2,1,2,3,2,2,3,2,2,2,2,3,2,3,3,2,2,3,4,3,2,2,3,2,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,3,4,3,4,4,3,4,4,4,3,4
